start,end,text,labels,id
3624,3791,It is well known fact that international trade is transacted by spending foreign exchange but the earning of foreign exchange is also made by person resident in India.,['ARG_PETITIONER'],9380b8be00a24dacacc7c32bb0121786_22
3792,3884,There is no law whereby Indian resident is regulated from entering into international trade.,['ARG_PETITIONER'],d4d391460fa84e3ea6cb7dfdd1d43b0a_23
3885,3995,"If that is so, the appellant cannot be held guilty for Section 18(2) read with Section 18(3) of FER Act, 1973.",['FAC'],cbd88b9a85a1427890205be0eb311708_24
3996,4012,[Emphasis added],['ANALYSIS'],905ddd3433c440e7b0c075f452187d47_25
4015,4081,"4. After so stating, the tribunal proceeded to opine that:-

11.",['RLC'],6942948e20ee415ab7c4af220e629dbf_26
4082,4256,The act of transferring trade license which was earlier in the name of Videocon Appliances Ltd in favour of the appellant firm hardly has any bearing on the question at hand.,['ANALYSIS'],6af3d3fbc1af4e619cd46ab9c5970688_27
4257,4338,"Moreover, M/s. Videocon Appliances Ltd. Is not held guilty by the impugned order.",['RLC'],1b5627160a0444f7a3ef0666cd7a1082_28
4339,4492,"In that situation, it is difficult to understand that how individual Directors of M/s. Videocon Appliances Ltd. Can be held guilty by the impugned order.",['ANALYSIS'],c91bcfb203ae4f3ca61f135506360a24_29
4493,4745,"It is apparent from the impugned order that partner appellants as well as Director appellants are held guilty doubly and separately even when these names are over-lapping and all of them are also shown as directors of M/s. Videocon Appliances Ltd.
12.",['ANALYSIS'],d217deba29b44c9cae596152aea34021_30
4746,5168,"The Reverse Bank of India by two letters of dated 21.1.1992 and dated 18.2.1994 as at page 46 and 52 of the records has also stated that international transactions of trade by purchase of goods from Japan and Korea and sale to M/s. Radio Exports, Russia does not require any filling up of the GRI form along with declaration under Section 18(1)(a) nor are covered under Treat Agreement mechanism with Russia about payment.",['ANALYSIS'],6de3be6855c143df86aef0e2063b0ca5_31
5169,5259,We have not been led to anything wherefrom this Tribunal can find that RBI has gone wrong.,['ANALYSIS'],396cceea78544193b273ba7391789f17_32
5260,5552,"RBI functions as delegated authority of Parliament under FER Act and in this sense of term functions as Controller and Regulator of foreign exchange, hence, the advice of RBI given by aforesaid two letters is required to be accepted when it is totally in consonance with the legal provisions.",['ANALYSIS'],8f068578dfbf44dbadb8dd41a055d30f_33
5553,5578,"[Underlining is ours]
5.",['ANALYSIS'],38192b0336c94b2794b6b82f53f627e7_34
5579,5664,"Being of this view, the tribunal dislodged the finding of the adjudicating authority.",['ANALYSIS'],8469cf208687412089d336d362b9af9f_35
5665,5796,"

6. Be it noted here, the order passed by the tribunal was not assailed by the Revenue and, therefore, it has attained finality.",['ANALYSIS'],1689341cf48442639384f86091ec8d2b_36
5801,5886,"7. Presently, we shall advert to the scenario in the court of the learned Magistrate.",['NONE'],d1591fc304f04db4a5ca19ee7258cc37_37
5887,6172,"During the process of adjudication and the delineation of the assail by the tribunal, the criminal proceeding continued and after the controversy was put to rest by the tribunal, an application was filed under Section 245 of the Code of Criminal Procedure for discharge of the accused.",['RLC'],b2b61e7fd8df4831bfc643822174f7a0_38
6173,6373,"The learned Magistrate taking note of the fact that there has been an adjudication on merits by the tribunal, thought it appropriate to discharge the accused persons and accordingly so directed.

8.",['RLC'],6cb3cdf7d7ce4e568271e87b6764f6ba_39
6374,6622,The order passed by the learned Chief Metropolitan Magistrate was challenged in Criminal Revision Application No. 716 of 2008 and the learned Additional Sessions Judge dislodged the view expressed by the learned Magistrate and allowed the revision.,['RLC'],e61f8e077b654ddd9b5f89f3aee31bf7_40
6623,6726,"Being dissatisfied, the appellant preferred Criminal Application No. 497 of 2011 before the High Court.",['FAC'],d160af6f1d8c46439b049ad2ff1cd706_41
6727,7036,"The learned single Judge referred to the decision Radheshyam Kejriwal v. State of West Bengal & Anr. 1, noted that the revisional court had relied on the minority view, reflected on the principles culled out in the said case, adverted to the findings recorded by the tribunal and thereafter opined that:-

 ",['RLC'],ad50032706284c428fb77353b5c18f8e_42
7036,7249,"In the present case, however, what is noted is that though the goods were physically shipped from Korea and Japan, the same were shipped on behalf of the accused and in my considered opinion it amounted to export.",['ANALYSIS'],e0779900c59f412b989916e5f06c329d_43
7250,7290,It is stated to be third country export.,['RLC'],cab75162cc124605bfc5813bd342b0dd_44
7291,7418,"In such a case of export, in my view, it is not necessary that the goods shall necessarily be shipped from the shores of India.",['ANALYSIS'],d495c96e207e4d45a14c4a1846032e60_45
7419,7529,It is noted that permission was obtained by the accused to ship the goods from South Korea and Japan directly.,['ANALYSIS'],f33944cb2a504e88a11b1f1a523f6e11_46
7530,7593,Foreign exchange was paid to the Japanese and Korean companies.,['RLC'],fae735a1aa214ca4a3dd2ae71aa791b9_47
7594,7733,"The payment was to be received in Indian rupees and same was supposed to be received in India at Indian Bank, Nariman Point Branch, Mumbai.",['RLC'],78b90fb8fb854cf69f2179c3f71f598c_48
7734,7912,"This being nature of transaction, it follows that the export of goods was deemed export from India and foreign exchange was spent for buying the goods from South Korea and Japan.",['RLC'],17165c1f0eab4a65b1eeec9bfb8e993e_49
7913,7989,"The payment was to be received in Indian Bank, Nariman Point Branch, Mumbai.",['RLC'],f2acab18436f4f3184bb6a3f1076bbc2_50
7990,8088,No steps were taken by the accused to see that the payments are received within a stipulated time.,['RLC'],28f0ceb8cf3e404faf08b17c268edb79_51
8089,8235,I do not subscribe the view expressed by the Tribunal that Sections 18(2) and 18(3) of the Act were not applicable to the transaction in question.,['ANALYSIS'],5139e4f9ed304e9fb5a38cfc01e590a7_52
8236,8278,"1 (2011) 3 SCC 581 [Emphasis supplied]
9.",['NONE'],61398c2740414d36ac8131f03301010a_53
8279,8458,"Being of this view, the High Court has expressed the opinion that the tribunal has not given any finding on the merits of the case and its findings are based on technical grounds.",['ANALYSIS'],b3a925863c59441691ba036faac8ab3c_54
8459,8560,The said appreciation has led to the dismissal of the criminal application preferred by the assessee.,['ANALYSIS'],5b97d680df55426390c49838719d088f_55
8565,8703,"10. We have heard Mr. C.U. Singh, learned senior counsel for the appellant and Mr. A.K. Panda, learned senior counsel for the respondents.",['NONE'],c1d256e3e8a24ebbb2fda3b112825962_56
8708,9147,"11. It is submitted by Mr. Singh that the High Court has not appropriately decided the petition regard being had to the jurisdiction under the Code of Criminal Procedure and keeping in view the principles stated by the majority in Radheshyam Kejriwal (supra) but has allowed itself to decide on the justifiability of the order passed by the tribunal in appeal preferred by the appellant and, therefore, the ultimate conclusion is vitiated.",['ARG_PETITIONER'],d95d8ef4d6d947fa9042fced6007e75d_57
9148,9618,"Learned senior counsel further submits that the order passed by the tribunal cannot be regarded as an order passed on technical grounds as the tribunal has analysed the facts and taken a view and same having gone unchallenged, the order of discharge passed by the learned Magistrate is absolutely defensible and should not have been interfered with by the revisional court and the High Court should not have given the stamp of affirmance to the order passed in revision.",['ARG_PETITIONER'],a121df35fdcf46f0a60841d92cc7f50d_58
9623,9930,"12. Mr. Panda, learned senior counsel, per contra, would go to the extent of submitting that the decision in Radheshyam Kejriwal (supra) is not in accordance with the principles stated in Standard Chartered Bank and others v. Directorate of Enforcement and others2 and therefore it requires reconsideration.",['ARG_PETITIONER'],532684ddeffb4146ac76f8d36251cbfa_59
9931,9991,He has referred to various passages from the said authority.,['ARG_PETITIONER'],8cd5421ca1f54a07a0a6fcfd29b39eb0_60
9992,10158,"Additionally, learned senior counsel argues that the view expressed by the High Court is absolutely flawless and does not require to be interfered with by this Court.",['ARG_RESPONDENT'],0060f4884f8845c39fe36436e7bb6c2a_61
10159,10572,"

13. In reply, Mr. Singh would contend that in Radheshyam Kejriwal (supra), the decision rendered in Standard Chartered Bank (supra) has been extensively considered and distinguished and the basis of the distinction forms the foundation of discharge in the present case and, therefore, this Court should exercise its jurisdiction under Article 136 of the Constitution and set aside the order of the High Court.",['ARG_RESPONDENT'],c24dec1ec6e84e9198267024ab9990c4_62
10573,10709,"That apart, it is urged that there is no necessity for reconsideration of the decision in Radheshyam Kejriwal (supra) by a larger Bench.",['ANALYSIS'],79623af09e2f4535a874432cf399b7b0_63
10710,11031,"

14 . It is obligatory to note at the outset that the findings recorded and the conclusions arrived at by the tribunal are founded on analysis 2 (2006) 4 SCC 278 of statutory provisions, the applicability of the letters issued by the Reserve Bank of India and the nature of transaction carried out between the parties.",['ANALYSIS'],2b699e3d76ab42998a3fcd8199d6fe85_64
11032,11122,It is beyond any stretch of doubt that the decision rendered by the tribunal is on merits.,['ANALYSIS'],1b61071d8e0f43168cd370a334857149_65
11123,11177,It is not an adjudication on any technical foundation.,['ANALYSIS'],e90ad2c9235346eea0165191a9a0e068_66
11178,11236,The decision on merits was allowed to rest by the revenue.,['ANALYSIS'],577c244343ed430eb0c4487038cfab88_67
11237,11376,"The learned Magistrate, as has been stated earlier, relying upon the decision in Radheshyam Kejriwal (supra) discharged the accused person.",['ANALYSIS'],f70531f1587a402aa2db9cfbcbce13a1_68
11377,11485,"The learned Additional Sessions Judge, as is evident, followed the view expressed in the dissenting opinion.",['ANALYSIS'],b187192a0eb349e2b18fa396fe122e7a_69
11486,11566,The High Court has noted the same and has not really adverted to the said facet.,['ANALYSIS'],4aeec12546bb4d00bbc3abcb0825dffd_70
11567,11712,At this juncture it is necessary to state that the revisional court should have followed the view expressed by the majority and not the minority.,['ANALYSIS'],9bb7246ed70c4fafb91c9cd7c60ff125_71
11713,11750,The approach is absolutely erroneous.,['ANALYSIS'],f3576f09902c4af8bb6fe4d0d2f0bd2c_72
11751,12048,"Be that as it may, as the order passed by the High Court would show, it has referred to the principles culled out in Radheshyam Kejriwal (supra) and thereafter had proceeded, as has been indicated earlier, to record its opinion about the transaction on which the tribunal has rendered its verdict.",['ANALYSIS'],e39fb1f575254a6fac41b5a67861d2d3_73
12049,12282,"It is submitted by Mr. Singh, learned senior counsel appearing for the appellant that the order of the tribunal was not under assail before the High Court and, hence, the High Court could not have commented on the merits of the same.",['ARG_PETITIONER'],2b06b052132f441fba9939f9a58aa80c_74
12283,12327,We find substance in the aforesaid argument.,['ANALYSIS'],bed5ebe71bc246fe802c58264593118e_75
12328,12491,"As the order passed by the tribunal was not under challenge, the High Court should not have deliberated on the justification of the view expressed by the tribunal.",['ANALYSIS'],2c1fb3d83edb42adbade067e1612242c_76
12492,12652,It is interesting to note that the High Court has relied on the principles of the majority in Radheshyam Kejriwal (supra) and declined to quash the proceedings.,['ANALYSIS'],1f8dc7e83ba54449b4205aca631a8c0a_77
12653,12922,"Mr. Panda, learned senior counsel appearing for the revenue would strenuously argue that the Radheshyam Kejriwal (supra) is contrary to the view expressed in the Standard Chartered Bank (supra) and, therefore, the matter requires to be reconsidered by the larger Bench.",['ARG_PETITIONER'],267cdf1843d44429ad61f3909b566d89_78
12923,13089,"As we find, that the decision in Standard Chartered Bank (supra) has been copiously referred to in the opinion by the majority and on facts it has been distinguished.",['ANALYSIS'],d653b4f5f940471b908cb3144c35d56c_79
13090,13173,"Therefore, the pronouncement in Radheshyam Kejriwal (supra) is a binding precedent.",['ANALYSIS'],97f91b9997764ad5bb0a4a322adc1dc7_80
13174,13325,"

15 . The heart of the matter would be whether the distinction made in Radheshyam Kejriwal (supra) applies to the factual score to the case at hand.",['ISSUE'],854a5320d34045cfa3d74face303c3f2_81
13326,13446,"The majority has reproduced paragraph 24 from Standard Chartered Bank (supra) wherein it has been held as follows:-

 ",['PRE_RELIED'],472a505b942d4cce8ff1cd9f7167df79_82
13446,13591,There is nothing in the Act to indicate that a finding in an adjudication is binding on the court in a prosecution un- der Section 56 of the Act.,['ANALYSIS'],8255598b426445b090b67c145164c8e6_83
13592,13680,There is no indication that the prosecution depends upon the result of the adjudication.,['ANALYSIS'],999cb4f09cd64e9e9d90c4220f05a89f_84
13681,13769,"We have already held that on the scheme of the Act, the two proceedings are independent.",['ANALYSIS'],6fcabade17724bbda599adc538af15a9_85
13770,13822,The finding in one is not con- clusive in the other.,['ANALYSIS'],dfb4c859ec7c4ca48ea4c05895eec656_86
13823,14077,"In the context of the objects sought to be achieved by the Act, the elements relied on by the learned Senior Counsel, would not justify a finding that a prosecution can be launched only after the completion of an adjudication under Section 51 of the Act.",['ANALYSIS'],54033c87ecc9453a93ccf98081b23fee_87
14078,14221,"
16. In that context, the majority in Radheshyam Kejriwal (supra) has proceeded to pose the issue required to be adjudicated in the said case.",['PRE_NOT_RELIED'],7fec29f77a62435fa8802397da60eec7_88
14222,14589,"It is as follows:-

However, in a case like the present one in which the penalty proceeding under Section 51 of the Act and the prosecution under Section 56 of the Act though launched together but the penalty proceeding culminated earlier ex- onerating the person, the question would arise as to whether continuance of the prosecution would be permissi- ble or not.",['ANALYSIS'],2810ea8231934fed9d897b5a99e22506_89
14590,14917,"In other words, the question with which we are concerned is the impact of the findings which are recorded on the culmination of adjudication proceedings on criminal proceeding and in case in the adjudication proceedings the person concerned is exonerated can he ask for dropping of the criminal proceeding on that ground alone.",['ANALYSIS'],1c214071270d4ea89926bfbd35ba100c_90
14920,15231,"17. Thereafter, it has referred to various authorities, namely, Collector of Customs v. L.R. Melwani3, B.N. Kashyap v. Emperor4, K.G. Premshankar v. Inspector of Police5, Iqbal Singh Marwah v. Meenakshi Marwah6, Uttam Chand v. ITO7, G.L. Didwana v. ITO8 and K.C. Builders v. CIT9 and eventually ruled that:-

",['PRE_RELIED'],7d60bc06b5af468c9fb58be62431747f_91
15231,15280,We find substance in the submission of Mr Sharan.,['ANALYSIS'],c0c844dc9ac34e19b365aa9bcc0d3067_92
15281,16032,"There may appear to be some conflict between the views in Stan- dard Chartered Bank (1) and L.R. Melwani holding that ad- judication proceedings and criminal proceeding are two in-
3 AIR 1970 SC 962 4 AIR 1945 Lah 23 5 (2002) 8 SCC 87 6 (2005) 4 SCC 370 7 (1982) 2 SCC 543 8 (1995) Supp (2) SCC 724 9 (2004) 2 SCC 731 dependent proceedings and both can go on simultaneously and finding in the adjudication proceedings is not binding on the criminal proceeding and the judgments of this Court in Uttam Chand, G.L. Didwania and K.C. Builders wherein this Court had taken a view that when there is categorical finding in the adjudication proceedings exonerating the per- son which is binding and conclusive, the prosecution can- not be allowed to stand.",['PRE_RELIED'],c795e4a90def4a069eb48e8dd3d88c30_93
16033,16192,The judgments of this Court are not to be read as a statute and when viewed from that angle there does not seem any conflict between the two sets of decisions.,['ANALYSIS'],273fb05ef0454c20bd6b281fcf4c8047_94
16193,16302,It will not make any difference on principle that latter judgments pertain to cases under the Income Tax Act.,['ANALYSIS'],b7213914a7bd4c0fbf7820590f67d82f_95
16303,16427,"

18 . In the ultimate eventuate, the following principles were culled out from the decisions referred to in the judgment.",['ANALYSIS'],479d0ac68c1740beaa4544b09d491299_96
16428,17362,"The majority has put it thus:-

The ratio which can be culled out from these decisions can broadly be stated as follows:
(i) Adjudication proceedings and criminal prosecution can be launched simultaneously;
(ii) Decision in adjudication proceedings is not neces- sary before initiating criminal prosecution;
(iii) Adjudication proceedings and criminal proceedings are independent in nature to each other;
(iv) The finding against the person facing prosecution in the adjudication proceedings is not binding on the pro- ceeding for criminal prosecution;
(v) Adjudication proceedings by the Enforcement Di- rectorate is not prosecution by a competent court of law to attract the provisions of Article 20(2) of the Constitu- tion or Section 300 of the Code of Criminal Procedure;
(vi) The finding in the adjudication proceedings in favour of the person facing trial for identical violation will depend upon the nature of finding.",['PRE_RELIED'],b28c921dcc35440aa4a6643d6e37f03e_97
17363,17800,"If the exoneration in adjudication proceedings is on technical ground and not on merit, prosecution may continue; and
(vii) In case of exoneration, however, on merits where the allegation is found to be not sustainable at all and the person held innocent, criminal prosecution on the same set of facts and circumstances cannot be allowed to continue, the underlying principle being the higher stan- dard of proof in criminal cases.
19.",['PRE_RELIED'],186ecec742474efca85b9ecc10f4405f_98
17801,18090,"Clarifying the position, the majority observed that the yardstick would be to judge as to whether the allegation in the adjudication proceedings as well as the proceeding for prosecution is identical and the exoneration of the person concerned in the adjudication proceedings is on merits.",['ANALYSIS'],8fac6d0d038d45a58abcfeacb307ba3a_99
18091,18293,"In case it is found on merit that there is no contravention of the provisions of the Act in the adjudication proceedings, the trial of the person concerned shall be an abuse of the process of the court.",['ANALYSIS'],82550cbf8f1a4d64908511a8dc7e7c0c_100
18294,18758,"On the basis of the aforesaid principles, the majority proceeded to analyse the factual matrix and analysed the finding recorded by the adjudicating authority and opined when there is a finding by the Enforcement Directorate in the adjudication proceeding that there is no contravention of any of the provisions of the Act, it would be unjust and an abuse of the process of the court to permit the Enforcement Directorate to continue with the criminal prosecution.",['ANALYSIS'],31330f9f0b9f4499b23bd3cb65d8a694_101
18759,18966,"

20 . We respectfully concur with the said view and do not perceive any reason to disagree with the same and refer the pronouncement in Radheshyam Kejriwal (supra) for reconsideration by the larger Bench.",['ANALYSIS'],f83c012bb76144fe922d5ea3dabcfb56_102
18967,19337,"

21 . Coming to the facts of the case, we find that the tribunal has arrived at a conclusion that the appellant cannot be held guilty for Section 18(2) read with Section 18(3) of FER Act, 1973 and the advise of the Reserve Bank of India given in its letters dated 21.1.1992 and 18.2.1994 deserve to be accepted as they are totally in consonance with legal provisions.",['RATIO'],87a21e6962d34ef0b0ba7e0829d8d645_103
19338,19601,"The High Court, without an assail to the order passed by the tribunal, has adverted to the same and opined that it does not subscribe to the view expressed by the tribunal that Section 18(2) and 18(3) of the Act were not applicable to the transaction in question.",['RATIO'],c09cfc4b8c68463dab61b2db65dff229_104
19602,19642,The High Court could not have done that.,['RATIO'],0007d05a1d164cdc9e2d3bc2242a9940_105
19643,19879,"We may note with profit that the High Court after stating that has reproduced paragraph 38 and (vi) and opined that the findings given by the tribunal are based on technical grounds and, therefore, the prosecution is liable to continue.",['RATIO'],4be1de08ba20464582c940f4ec8c22f8_106
19880,20106,"As we perceive, the judgment of the tribunal is on merits, inasmuch as findings have been recorded after analysis of facts and the conclusion has been arrived at that the appellants have not violated the provisions of the Act.",['RATIO'],8a66e9298a9245acad749038c8d2cdf1_107
20107,20284,"In such a situation, it cannot be said that it is a judgment rendered on technical grounds and, therefore, we are compelled to hold that the High Court has totally erred in law.",['RATIO'],899f9f77deea41829366de99debe1894_108
20285,20880,"

22 . In view of the aforesaid analysis, we allow the appeals, set aside the judgments and order passed by the High Court as well as by the learned Additional Sessions Judge and direct that the order passed by the learned Magistrate discharging the accused persons shall stand restored.

...............................J.

[Dipak Misra] ...............................J.

                                      [Shiva Kirti Singh]
New Delhi
April 19, 2016


ITEM NO.19                   COURT NO.4                 SECTION IIA

                  S U P R E M E C O U R T O F        ",['RPC'],e66a6e231a354357a879ca82b0510506_109
20880,20988,"I N D I A
                          RECORD OF PROCEEDINGS

Petition(s) for Special Leave to Appeal (Crl.)",['NONE'],0699e16a81874531a4ede60e316d75f9_110
20989,21009,       No.10515/2013,['NONE'],1c0ada629b0c4f52986969cd8d3b25ad_111
21014,21137,(Arising out of impugned final judgment and order dated 14/10/2013 in CRLA No. 497/2011 passed by the High Court of Bombay),['NONE'],0f3b803ab7a5470eade3ec6b4574de04_112
21138,21150,M/S VIDEOCON,['NONE'],2a6a8b3b0f3c4141b176fdaa8578c0ed_113
21151,21277,INDUSTRIES LTD & ANR Petitioner(s) VERSUS STATE OF MAHARSHTRA & ORS Respondent(s) (With appln. (s) for stay and office report),['NONE'],50a1bb108ef74d0e8cdd58cecb541478_114
21278,21344,WITH S.L.P.(Crl) No.40/2014 (With office report) Date : 19/04/2016,['NONE'],853d78a34d1d409db2993a899e8d2850_115
21345,21391,This petition was called on for hearing today.,['NONE'],d2a19d104b5a4b52bfe5c3eb6d7d09bf_116
21392,21407,"



CORAM :",['NONE'],fe25e20a7556413b8d7b0ee7b77f78e6_117
21408,21441,  HON'BLE MR. JUSTICE DIPAK MISRA,['NONE'],ebe21e4f05b74a568f584959f42b8a95_118
21442,21491,"
          HON'BLE MR. JUSTICE SHIVA KIRTI SINGH",['NONE'],9af6c7a5f0934487b83b34ac32cc28e1_119
21496,21568,"For Petitioner(s)     Mr.   C.U. Singh, Sr. Adv.
                      ",['NONE'],01c0ce977ad14d5fa1fc49b8959eac1c_120
21568,21599,"Mr.   Siddharth Bhatnagar, Adv.",['NONE'],3b3ef211d7b64e1b977ad59221618ab2_121
21600,21645,"
                      Mr.   S. Mishra, Adv.",['NONE'],9aa7b91761684a36ad25fdd8648d85cb_122
21646,21696,"
                      Mr.   Sidharth Mohan, Adv.",['NONE'],ef235b4fbb5e4b85bf05ace3afafb2dc_123
21721,21746,"Ms.   Garima Tiwari, Adv.",['NONE'],1ec85d32ad51485394f810e3a3947dae_124
21747,21903,"
                      Mr.   Nirnimesh Dube,Adv.

SLP(Crl.) 40/14       Mr.   Siddharth Bhatnagar, Adv.
                      Mr.   Sidharth Mohan, Adv.",['NONE'],65d5fca8e9574973b767766e8f640248_125
21928,21953,"Ms.   Garima Tiwari, Adv.",['NONE'],77db17810d9a40a9bfe9fb1e72148800_126
21954,22051,"
                      Mr.   T. Mahipal, AOR

For Respondent(s)     Mr.   A.K. Panda, Sr. Adv.",['NONE'],471c5b35cd8b445fb20e2d4c5bf0532f_127
22052,22102,"
                      Mr.   Amarjeet Singh, Adv.",['NONE'],bc902bcca88b4b92aafdc01ad3fe248f_128
22127,22150,"Mr.   S.A. Haseeb, Adv.",['NONE'],4ba26dfb7a7f4305b1c930bce113172d_129
22175,22201,"Mr.   Rajat Mathuria, Adv.",['NONE'],7298763ed6d74342a8fc987d1bb58391_130
22226,22250,"Ms.   Sonali Singh, Adv.",['NONE'],4903136a4b3e4de3a215cbee27dd600e_131
22275,22303,"Mr.   B. Krishna Prasad, AOR",['NONE'],19006308ccc545e886f8472714e4a2bc_132
22304,22433,"

                      Mr. T. Mahipal, AOR


UPON hearing the counsel the Court made the following O R D E R Leave granted.",['NONE'],b9248f39b9b6465b87f0d11b967c40b4_133
22434,22505,"

The appeals are allowed in terms of the signed reportable judgment.",['NONE'],3a3af7436d2a4cdab80cca32cd0ad2c0_134
